#,"URL Rating (desc)","Domain Rating","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language
36,6,37,http://englishandarabic.com/dictionary/megalith,"megalith - Arabic Meaning (معنى العربية) | 'megalith' in Arabic at EnglishAndArabic.com",97,16,http://www.dictionary.com/browse/megalith?s=t,"Google Translator The-definition.com Wikipedia.com",Dictionary.com,"Merriam Webster Cambridge",Dofollow,,"2017-08-23 16:58:21","2017-09-12 05:32:58",,en
37,5,31,https://www.english-arabic.org/english-to-arabic-meaning-megalith,"English to Arabic Meaning of megalith",89,10,http://www.dictionary.com/browse/megalith?s=t,"The Definition",Dictionary.com,"Merriam Webster Wikipedia",Dofollow,,"2017-09-04 22:47:10","2017-09-20 22:09:04",,en
38,5,35,https://yousearch.io/Megalith,Megalith,18,12,http://www.dictionary.com/browse/megalith,,"Megalith | Define Megalith at Dictionary.com",,Dofollow,,"2017-04-11 21:52:52","2017-06-16 10:28:28",,en
39,5,35,http://englishnfrench.com/dictionary/megalith,"megalith - French Meaning (Le sens français) | megalith en française sur EnglishnFrench.com",96,15,http://www.dictionary.com/browse/megalith?s=t,"Google Translator The-definition.com Wikipedia.com",Dictionary.com,"Merriam Webster",Dofollow,,"2017-04-27 08:11:48","2017-09-21 03:44:38",,en
40,5,33,https://www.wordgamehelper.com/word/megaliths,"megaliths: Information about the word megaliths - Word Game Helper",39,13,http://www.dictionary.com/browse/megalith,,"Click Here",,Nofollow,,"2017-04-19 19:42:18","2017-06-08 23:11:32",,en
41,5,37,https://whatsthisword.com/search/-----i-hs,"Solutions for ?????i?hs | Crossword Puzzle Solver and Word Finder | WHAT'S THIS WORD",7,64,http://www.dictionary.com/browse/megalith,"have a definition for this yet, these links might help:",Dictionary.com,", Collins Dictionary , The Free Dictionary ,",Dofollow,,"2017-05-20 17:14:52","2017-09-07 00:48:32",,en
42,5,37,https://whatsthisword.com/search/m-ga---h-,"Solutions for m?ga???h? | Crossword Puzzle Solver and Word Finder | WHAT'S THIS WORD",7,21,http://www.dictionary.com/browse/megalith,"have a definition for this yet, these links might help:",Dictionary.com,", Collins Dictionary , The Free Dictionary ,",Dofollow,,"2017-07-22 20:27:00","2017-08-22 03:31:10",,en
43,4,30,http://english-portuguese.com/dictionary/megalith,"megalith - Portuguese Meaning (Português Significado) | 'megalith' in Portuguese at English-portuguese.com",98,15,http://www.dictionary.com/browse/megalith?s=t,"Google Translator The-definition.com Wikipedia.com",Dictionary.com,"Merriam Webster",Dofollow,,"2017-04-25 03:01:07","2017-09-22 06:43:58",,en
44,3,25,https://www.english-hindi.net/english-to-hindi-meaning-megalith,"English to Hindi Meaning of megalith",89,11,http://www.dictionary.com/browse/megalith?s=t,"The Definition",Dictionary.com,"Merriam Webster Wikipedia",Dofollow,,"2017-08-26 22:46:22","2017-09-11 23:57:33",,
45,3,23,https://yiddish.english-dictionary.help/english-to-yiddish-meaning-megalith,"English to Yiddish Meaning of megalith",89,10,http://www.dictionary.com/browse/megalith?s=t,"The Definition",Dictionary.com,"Merriam Webster Wikipedia",Dofollow,,"2017-09-11 10:57:22","2017-09-11 10:57:22",,en
46,3,23,https://catalan.english-dictionary.help/english-to-catalan-meaning-megalith,"English to Catalan Meaning of megalith",89,10,http://www.dictionary.com/browse/megalith?s=t,"The Definition",Dictionary.com,"Merriam Webster Wikipedia",Dofollow,,"2017-09-08 18:54:28","2017-09-08 18:54:28",,en
47,2,22,https://www.english-kannada.com/english-to-kannada-meaning-megalith,"English to Kannada Meaning of megalith",89,11,http://www.dictionary.com/browse/megalith?s=t,"The Definition",Dictionary.com,"Merriam Webster Wikipedia",Dofollow,,"2017-09-17 04:07:59","2017-09-25 03:31:06",,en
48,1,18,https://www.english-nepali.com/english-to-nepali-meaning-megalith,"English to Nepali Meaning of megalith",89,10,http://www.dictionary.com/browse/megalith?s=t,"The Definition",Dictionary.com,"Merriam Webster Wikipedia",Dofollow,,"2017-08-27 14:06:24","2017-09-12 08:43:53",,
49,0,15,https://www.english-welsh.net/english-to-welsh-meaning-megalith,"English to Welsh Meaning of megalith",89,10,http://www.dictionary.com/browse/megalith?s=t,"The Definition",Dictionary.com,"Merriam Webster Wikipedia",Dofollow,,"2017-08-24 01:07:27","2017-09-22 04:45:58",,en
50,0,71,http://dictionary.reference.com/browse/megalith?s=t,,0,1,http://www.dictionary.com/browse/megalith?s=t,,,,"Dofollow, Redirect 301",,"2015-05-04 12:19:39","2017-04-14 00:59:44",,
51,0,0,http://westcivprojectshannonvinton.blogspot.com/2010/02/,"Western Civilization Project/ Vinton: February 2010",31,78,http://www.dictionary.com/browse/megalith,,http://dictionary.reference.com/browse/megaliths,,Dofollow,,"2017-04-25 15:21:18","2017-09-20 19:20:49",,en
52,0,0,http://westcivprojectshannonvinton.blogspot.com/2010/02/what-is-important.html,"Western Civilization Project/ Vinton: What is Important?",30,18,http://www.dictionary.com/browse/megalith,,http://dictionary.reference.com/browse/megaliths,,Dofollow,,"2017-04-05 13:16:24","2017-08-31 13:28:35",,en
53,0,3,https://www.english-gujarati.com/english-to-gujarati-meaning-megalith,"English to Gujarati Meaning of megalith",89,11,http://www.dictionary.com/browse/megalith?s=t,"The Definition",Dictionary.com,"Merriam Webster Wikipedia",Dofollow,,"2017-08-31 06:07:31","2017-09-08 16:54:22",,
54,0,9,https://www.english-punjabi.net/english-to-punjabi-meaning-megalith,"English to Punjabi Meaning of megalith",89,11,http://www.dictionary.com/browse/megalith?s=t,"The Definition",Dictionary.com,"Merriam Webster Wikipedia",Dofollow,,"2017-04-19 01:51:19","2017-09-23 20:42:01",,en
